SeasonEndYear,Squad,Comp,Player,Sh_Standard,SoT_Standard,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Final_Third,PPA,SCA_SCA,TO_SCA,PassLive_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,TklW_Tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,tkl_plus_int,Clr,Err
2024,Chelsea,Premier League,Lesley Ugochukwu,0,0,141,167,84.4,2263,583,9,4,3,0,3,0,0,0,0,0,0,0,0,0,9,3,8,1,3,8,37.5,5,2,3,1,13,3,0
2024,Chelsea,Premier League,Deivid Washington,1,0,1,1,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2024,Crystal Palace,Premier League,Naouirou Ahamada,5,1,81,102,79.4,1177,291,2,0,6,0,6,0,0,0,2,2,0,0,0,0,3,3,1,0,3,9,33.3,2,0,2,1,5,3,0
2024,Crystal Palace,Premier League,Joachim Andersen,17,8,1247,1578,79,27588,10179,138,15,32,0,27,3,0,1,3,3,0,0,0,0,21,25,8,1,19,28,67.9,27,17,10,30,64,133,1
2024,Crystal Palace,Premier League,Jordan Ayew,39,15,542,738,73.4,7935,1693,35,24,64,3,37,7,11,2,10,8,1,0,1,0,27,21,19,12,14,32,43.8,37,2,35,13,65,12,0
2024,Crystal Palace,Premier League,Nathaniel Clyne,2,0,257,322,79.8,3855,1642,21,2,4,0,3,0,0,1,0,0,0,0,0,0,9,7,6,2,9,12,75,9,2,7,4,19,21,0
2024,Crystal Palace,Premier League,Cheick Doucouré,6,2,367,422,87,5725,1849,39,5,23,1,19,2,0,1,3,3,0,0,0,0,17,15,13,6,18,30,60,13,2,11,20,54,12,0
2024,Crystal Palace,Premier League,Odsonne Édouard,46,17,209,303,69,2582,593,10,13,41,6,26,7,1,1,2,2,0,0,0,0,10,7,5,7,3,17,17.6,14,1,13,5,24,19,0
2024,Crystal Palace,Premier League,Eberechi Eze,48,19,395,519,76.1,6418,1800,28,22,64,4,23,7,8,1,4,2,0,0,2,0,9,1,11,11,10,21,47.6,11,1,10,6,29,4,0
2024,Crystal Palace,Premier League,Matheus França,8,2,51,79,64.6,910,256,4,2,8,0,4,0,1,0,2,1,0,0,1,0,3,2,1,0,1,7,14.3,4,0,4,1,4,1,0
2024,Crystal Palace,Premier League,Marc Guéhi,5,0,1073,1239,86.6,21710,7619,80,4,18,0,13,2,2,1,2,2,0,0,0,0,17,21,5,0,13,23,56.5,22,17,5,18,44,86,1
2024,Crystal Palace,Premier League,Dean Henderson,0,0,142,237,59.9,4269,3136,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,6,1
2024,Crystal Palace,Premier League,Will Hughes,4,2,472,567,83.2,6739,1853,44,10,34,1,21,0,2,1,2,2,0,0,0,0,22,18,14,8,13,28,46.4,24,9,15,12,52,20,0
2024,Crystal Palace,Premier League,Sam Johnstone,0,0,321,555,57.8,10870,8212,13,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,100,0,0,0,1,2,5,0
2024,Crystal Palace,Premier League,Jefferson Lerma,30,9,801,986,81.2,12406,3793,92,17,42,1,37,2,1,1,3,3,0,0,0,0,17,8,19,3,11,28,39.3,24,8,16,25,55,46,0
2024,Crystal Palace,Premier League,Jean-Philippe Mateta,20,8,194,268,72.4,2443,524,6,10,47,4,34,4,4,1,8,6,0,0,2,0,8,3,6,3,3,5,60,8,2,6,3,15,7,0
2024,Crystal Palace,Premier League,Remi Matthews,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0
2024,Crystal Palace,Premier League,Tyrick Mitchell,4,2,805,1132,71.1,13138,5674,55,19,26,0,23,0,0,1,3,3,0,0,0,0,36,57,9,6,27,38,71.1,37,8,29,21,93,84,0
2024,Crystal Palace,Premier League,Daniel Muñoz,2,0,154,198,77.8,2098,686,3,2,10,0,9,0,1,0,1,1,0,0,0,0,11,9,2,1,6,13,46.2,9,5,4,6,18,17,0
2024,Crystal Palace,Premier League,Michael Olise,30,9,302,429,70.4,4994,1552,27,17,50,7,24,4,4,0,6,5,1,0,0,0,8,5,8,1,8,20,40,14,0,14,6,20,8,0
2024,Crystal Palace,Premier League,David Ozoh,0,0,40,43,93,576,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,1,5,6,83.3,2,0,2,0,9,2,0
2024,Crystal Palace,Premier League,Jesuran Rak Sakyi,5,1,37,50,74,535,79,2,0,6,2,4,0,0,0,0,0,0,0,0,0,1,3,1,0,2,3,66.7,2,0,2,3,7,1,0
