"","shot.end_location.y","shot.end_location.z","shot.outcome.name"
"190",41.4,0.2,"Goal"
"191",37,1.5,"Goal"
"192",37,0.9,"Goal"
"193",42.8,1.9,"Goal"
"194",40.3,1,"Goal"
"195",41.6,1.1,"Goal"
"196",42.8,1.4,"Goal"
"197",37.4,0.2,"Goal"
"198",37.9,1.7,"Goal"
"199",43.2,0.3,"Goal"
"200",37.2,1.6,"Goal"
"201",36.6,0.2,"Goal"
"202",38,1.9,"Goal"
"203",41,1.5,"Goal"
"204",42.7,2.3,"Goal"
"205",36.7,1.4,"Goal"
"206",42.7,2,"Goal"
"207",36.9,0.9,"Goal"
"208",36.9,0.7,"Saved"
"209",37.7,2,"Goal"
"210",37,1.2,"Saved"
"211",37.1,0.9,"Saved"
"212",42.6,0,"Saved"
"213",43.2,1.3,"Goal"
"214",38.5,1.3,"Goal"
"215",42.8,1.2,"Saved"
"216",43,0.2,"Saved"
"217",40.7,0.2,"Goal"
"218",36.8,0.8,"Goal"
"219",39.8,0.7,"Goal"
"220",38.1,1.1,"Saved"
"221",36.6,0.2,"Goal"
"222",43.5,1.2,"Goal"
"223",38.6,0.8,"Saved"
"224",37,1.4,"Goal"
"225",38.4,0.7,"Goal"
"226",43.7,1.1,"Goal"
"227",36.4,2.2,"Goal"
"228",41.7,1.3,"Goal"
"229",40.3,1.2,"Goal"
"230",36.9,0.5,"Goal"
"231",39.4,1.6,"Goal"
"232",43.2,0.2,"Goal"
"233",38.7,0.4,"Goal"
"234",37.6,1.1,"Goal"
"235",37.7,1.1,"Saved"
"236",36.8,0.2,"Goal"
"237",42.8,1.6,"Goal"
"238",37.1,0.5,"Goal"
"239",38.1,1.2,"Saved"
"240",38.3,0.9,"Goal"
"241",37.1,1,"Saved"
"242",42.3,0.2,"Saved"
"243",37,2.4,"Goal"
"244",42.6,0.2,"Goal"
"245",43.1,1.5,"Goal"
"246",43,0.8,"Goal"
"247",36.1,0.2,"Goal"
"248",43.7,0.2,"Goal"
"249",43.7,0.2,"Goal"
"250",42.8,1.4,"Saved"
"251",36.6,0.6,"Goal"
"252",37.3,1.1,"Saved"
"253",37.1,0.2,"Goal"
"254",37.1,1.1,"Saved"
"255",43.8,1,"Goal"
"256",37.3,1.1,"Goal"
"257",42,0.2,"Saved"
"258",43.4,0.3,"Goal"
"259",42.6,0.3,"Goal"
"260",43.8,0.2,"Goal"
"261",43.8,0.9,"Goal"
"262",37.3,0.2,"Goal"
"263",39.7,0.2,"Goal"
"264",36.9,1.6,"Goal"
"265",42.7,0.2,"Goal"
"266",37.1,0.7,"Goal"
"267",39.5,0.2,"Goal"
"268",43,2.1,"Goal"
"269",36.6,2,"Goal"
"270",37.9,1.3,"Goal"
"271",43.4,2.4,"Goal"
"272",36.6,2,"Goal"
"273",36.5,0.2,"Goal"
