shot.end_location.y,shot.end_location.z,shot.outcome.name,Cluster
36.4,2.2,Goal,2
41.7,1.3,Goal,3
40.3,1.2,Goal,3
36.9,0.5,Goal,1
39.4,1.6,Goal,2
43.2,0.2,Goal,0
38.7,0.4,Goal,1
37.6,1.1,Goal,2
37.7,1.1,Saved,2
36.8,0.2,Goal,1
42.8,1.6,Goal,3
37.1,0.5,Goal,1
38.1,1.2,Saved,2
38.3,0.9,Goal,1
37.1,1.0,Saved,2
42.3,0.2,Saved,0
37.0,2.4,Goal,2
42.6,0.2,Goal,0
43.1,1.5,Goal,3
43.0,0.8,Goal,0
36.1,0.2,Goal,1
43.7,0.2,Goal,0
43.7,0.2,Goal,0
42.8,1.4,Saved,3
36.6,0.6,Goal,1
37.3,1.1,Saved,2
37.1,0.2,Goal,1
37.1,1.1,Saved,2
43.8,1.0,Goal,0
37.3,1.1,Goal,2
42.0,0.2,Saved,0
43.4,0.3,Goal,0
42.6,0.3,Goal,0
43.8,0.2,Goal,0
43.8,0.9,Goal,0
37.3,0.2,Goal,1
39.7,0.2,Goal,1
36.9,1.6,Goal,2
42.7,0.2,Goal,0
37.1,0.7,Goal,1
39.5,0.2,Goal,1
43.0,2.1,Goal,3
36.6,2.0,Goal,2
37.9,1.3,Goal,2
43.4,2.4,Goal,3
36.6,2.0,Goal,2
36.5,0.2,Goal,1
